Student #,School,Grade Level,Fall ELA MAP,Fall Math MAP,Winter ELA MAP,Winter Math MAP,Spring Math MAP,ELA IAR Score,Math IAR Score,ELA IAR,Math IAR
10131,School 1,4,221,210,,,,762,754,3,3
10132,School 1,4,193,201,,,,732,745,2,3
10133,School 1,4,182,190,,,,692,736,1,2
10134,School 1,4,208,191,,,,723,717,2,2
10135,School 1,4,200,203,,,,755,745,3,3
10136,School 1,4,206,201,,,,760,749,3,3
10137,School 1,4,194,198,,,,733,740,2,3
10138,School 1,4,193,198,,,,756,715,3,2
10139,School 1,4,187,199,,,,727,739,2,2
10140,School 1,4,196,205,,,,750,761,3,3
10141,School 1,4,208,203,,,,755,740,3,3
10142,School 1,4,178,186,,,,720,686,2,1
10143,School 1,4,216,204,,,,780,754,4,3
10144,School 1,4,201,204,,,,753,754,3,3
10145,School 1,4,194,196,,,,685,732,1,2
10146,School 1,4,192,209,,,,743,756,3,3
10147,School 1,4,198,203,,,,758,754,3,3
10148,School 1,4,181,204,,,,705,754,2,3
10149,School 1,4,163,175,,,,678,658,1,1
10150,School 1,4,190,204,,,,753,739,3,2
